iter	Passed	Remaining
0	135	135137
1	136	67966
2	137	45583
3	138	34364
4	138	27616
5	139	23087
6	139	19857
7	140	17425
8	141	15534
9	141	14015
10	142	12796
11	142	11767
12	143	10903
13	144	10169
14	144	9519
15	145	8961
16	146	8484
17	147	8035
18	147	7634
19	148	7282
20	149	6955
21	149	6657
22	150	6386
23	150	6135
24	151	5911
25	152	5699
26	152	5500
27	153	5317
28	153	5154
29	154	4994
30	155	4850
31	155	4711
32	156	4584
33	156	4460
34	157	4346
35	158	4237
36	158	4131
37	159	4031
38	159	3942
39	161	3871
40	161	3788
41	162	3708
42	163	3629
43	163	3555
44	164	3483
45	164	3415
46	165	3350
47	165	3288
48	166	3231
49	167	3174
50	167	3120
51	168	3069
52	169	3020
53	169	2971
54	170	2925
55	170	2882
56	171	2840
57	172	2797
58	172	2755
59	173	2718
60	174	2682
61	174	2646
62	175	2611
63	176	2578
64	176	2543
65	177	2512
66	178	2482
67	178	2448
68	179	2418
69	179	2390
70	180	2361
71	181	2333
72	181	2308
73	182	2281
74	182	2256
75	183	2234
76	184	2210
77	184	2185
78	185	2162
79	186	2140
80	186	2119
81	187	2097
82	187	2076
83	188	2056
84	189	2034
85	189	2014
86	189	1993
87	190	1975
88	191	1956
89	191	1939
90	192	1921
91	193	1905
92	193	1889
93	194	1878
94	195	1861
95	196	1846
96	196	1830
97	197	1815
98	197	1800
99	198	1786
100	199	1773
101	199	1756
102	200	1742
103	200	1730
104	201	1717
105	202	1706
106	203	1694
107	203	1681
108	204	1669
109	204	1656
110	205	1644
111	205	1632
112	206	1622
113	207	1610
114	208	1600
115	208	1588
116	209	1578
117	209	1567
118	210	1557
119	211	1547
120	211	1538
121	212	1528
122	212	1516
123	213	1507
124	214	1498
125	214	1490
126	215	1481
127	215	1471
128	216	1463
129	217	1454
130	218	1447
131	218	1439
132	219	1430
133	220	1422
134	220	1415
135	221	1406
136	222	1399
137	222	1391
138	223	1383
139	223	1375
140	224	1368
141	225	1361
142	226	1354
143	226	1347
144	227	1341
145	228	1335
146	229	1332
147	230	1326
148	231	1321
149	232	1315
150	232	1309
151	233	1302
152	234	1297
153	235	1291
154	235	1286
155	236	1281
156	237	1276
157	238	1272
158	239	1266
159	240	1261
160	241	1256
161	241	1250
162	242	1245
163	243	1240
164	244	1235
165	244	1229
166	245	1224
167	246	1219
168	246	1213
169	247	1209
170	248	1205
171	249	1200
172	250	1195
173	250	1189
174	251	1185
175	252	1180
176	252	1175
177	253	1171
178	254	1166
179	255	1163
180	255	1156
181	256	1152
182	257	1148
183	258	1144
184	258	1139
185	259	1135
186	260	1131
187	260	1127
188	261	1123
189	262	1119
190	263	1115
191	264	1112
192	264	1107
193	265	1104
194	266	1100
195	267	1096
196	268	1092
197	268	1089
198	269	1085
199	270	1081
200	271	1077
201	271	1073
202	272	1069
203	273	1066
204	274	1062
205	274	1059
206	275	1055
207	276	1052
208	277	1048
209	277	1045
210	278	1041
211	279	1037
212	279	1034
213	280	1030
214	281	1027
215	282	1024
216	283	1021
217	283	1018
218	284	1015
219	285	1012
220	286	1009
221	287	1006
222	287	1003
223	288	1000
224	289	997
225	290	994
226	291	991
227	292	989
228	292	986
229	293	983
230	294	980
231	295	977
232	296	974
233	296	972
234	297	969
235	298	966
236	299	963
237	300	961
238	301	958
239	301	955
240	302	952
241	303	949
242	303	946
243	304	944
244	305	941
245	306	939
246	307	936
247	308	934
248	308	931
249	309	928
250	310	926
251	311	924
252	312	921
253	312	919
254	313	916
255	314	914
256	315	911
257	316	908
258	316	906
259	317	904
260	318	901
261	319	899
262	320	896
263	320	894
264	321	891
265	322	889
266	323	887
267	324	885
268	324	882
269	325	880
270	326	878
271	327	876
272	328	873
273	328	871
274	329	869
275	330	867
276	331	865
277	332	863
278	333	861
279	333	858
280	334	856
281	335	855
282	336	853
283	337	851
284	338	850
285	339	848
286	340	846
287	341	844
288	342	842
289	343	840
290	344	838
291	345	836
292	346	835
293	347	833
294	348	831
295	348	829
296	349	827
297	350	825
298	351	823
299	352	821
300	353	819
301	353	818
302	354	815
303	355	814
304	356	812
305	357	810
306	358	808
307	359	806
308	359	805
309	360	802
310	361	801
311	362	799
312	363	797
313	364	796
314	365	795
315	366	794
316	368	792
317	369	791
318	369	789
319	370	788
320	371	786
321	372	784
322	373	783
323	374	781
324	375	779
325	376	778
326	377	776
327	378	774
328	379	773
329	380	771
330	381	770
331	382	768
332	383	767
333	383	765
334	384	764
335	385	762
336	386	760
337	387	758
338	388	757
339	389	756
340	390	754
341	391	752
342	391	750
343	392	749
344	393	747
345	394	746
346	395	744
347	396	742
348	397	741
349	398	739
350	399	737
351	400	736
352	401	735
353	402	733
354	403	732
355	403	730
356	404	729
357	405	727
358	406	725
359	407	724
360	408	723
361	409	721
362	410	719
363	411	718
364	412	717
365	413	715
366	414	714
367	415	712
368	416	711
369	416	709
370	417	708
371	418	706
372	419	705
373	420	703
374	421	702
375	422	701
376	423	699
377	424	698
378	425	697
379	426	695
380	427	694
381	428	692
382	429	691
383	430	689
384	430	688
385	431	686
386	432	685
387	433	683
388	434	682
389	435	680
390	436	679
391	437	678
392	438	676
393	439	675
394	440	673
395	440	672
396	441	671
397	442	669
398	443	668
399	444	667
400	445	665
401	446	664
402	447	662
403	448	661
404	449	659
405	450	659
406	451	657
407	452	656
408	453	655
409	454	654
410	455	652
411	456	651
412	457	650
413	458	648
414	459	647
415	460	646
416	461	645
417	462	643
418	463	642
419	464	641
420	465	640
421	466	638
422	467	637
423	468	636
424	469	635
425	470	633
